//*[contains(text(),"Player Profile")]/../../../../DIV[3]/DIV[1]/DIV[1]/H1[1]/TEXT()[1]
245 2299
//*[contains(text(),"U.S. Open")]/../../../../../../DIV[2]/DIV[3]/DIV[1]/DIV[1]/H1[1]/TEXT()[1]
245 2299
//*[contains(text(),"2013 Stats")]/../../DIV[1]/H1[1]/TEXT()[1]
1845 2299
//*[contains(text(),"Birth Date")]/../../../H1[1]/TEXT()[1]
1072 2299
//DIV[@class='container']/DIV[3]/DIV[1]/DIV[1]/H1[1]/text()[1]
245 2299
//*[contains(text(),"10")]/../../../../../DIV[1]/H1[1]/TEXT()[1]
2208 2299
//DIV[@class='mod-container mod-no-header-footer mod-page-header mod-headshot-65 mod-inactive']/DIV[1]/DIV[1]/H1[1]/text()[1]
2118 2299
//*[@id='content-wrapper']/DIV[2]/DIV[3]/DIV[1]/DIV[1]/H1[1]/text()
245 2299
//*[contains(text(),"ATP World Ranking:")]/../../../../../../../../DIV[3]/DIV[1]/DIV[1]/H1[1]/TEXT()[1]
2206 2299
//*[contains(text(),"6-1")]/../../H1[1]/TEXT()[1]
2232 2299
//*[contains(text(),"JAMES BLAKE NEWS FEED")]/../../../../../DIV[3]/DIV[1]/DIV[1]/H1[1]/TEXT()[1]
2298 2299
//*[contains(text(),"Yonkers, New York, USA")]/../../H1[1]/TEXT()[1]
2298 2299
//*[contains(text(),"James Blake")]/../../../../DIV[3]/DIV[1]/DIV[1]/H1[1]/TEXT()[1]
2298 2299
//*[contains(text(),"Go to")]/../../DIV[3]/DIV[1]/DIV[1]/H1[1]/TEXT()[1]
245 2299
//*[contains(text(),"Weight")]/../../../H1[1]/TEXT()[1]
1841 2299
//*[contains(text(),"Turned Pro: 1999")]/../../H1[1]/TEXT()[1]
2269 2299
//*[contains(text(),"Results")]/../../../../DIV[3]/DIV[1]/DIV[1]/H1[1]/TEXT()[1]
245 2299
//*[contains(text(),"Plays: Right")]/../../H1[1]/TEXT()[1]
1191 2299
//*[contains(text(),"Tennis.com")]/../../../../../../DIV[2]/DIV[3]/DIV[1]/DIV[1]/H1[1]/TEXT()[1]
245 2299
//*[contains(text(),"Career")]/../../../../../../DIV[1]/H1[1]/TEXT()[1]
1731 2299
//*[contains(text(),"James Blake")]/text()
2280 2299
//*[contains(text(),"#100")]/../../H1[1]/TEXT()[1]
2284 2299
//DIV[@class='mod-content']/DIV[1]/H1[1]/text()[1]
245 2299
//*[contains(text(),"ATP Rank")]/../../../H1[1]/TEXT()[1]
2206 2299
